D,D33139341,Dwight,60
A,A369253,Harrison,401
D,D7779266,Hattie,491
B,B31354967,Tommie,39
D,D6371719,Brendon,296
D,D24516910,Dwight,267
D,D97274653,Hassan,464
B,B93518088,Anna,274
B,B10154966,Kent,83
B,B5350590,Kent,431
A,A562211,Dwight,226
A,A4948836,Dionne,417
A,A5545339,Tyson,388
B,B43874041,Laurel,279
D,D68737194,Hattie,415
B,B54342976,Isaac,267
E,E7887833,Kim,312
B,B61295886,Suzanne,326
B,B70519324,Harrison,24
E,E74147946,Brendon,389
B,B8632595,Imelda,6
E,E68299732,Milford,72
C,C3149843,Deann,203
E,E16876334,Polly,108
D,D2416078,Corrine,457
B,B30397662,Lawrence,264
A,A53966679,Lawrence,337
A,A28243235,Hassan,58
C,C50497734,Kermit,491
B,B18365625,Angelique,52
A,A91875283,Rose,232
D,D74353759,Kim,470
A,A759412,Reba,442
D,D9183249,Shirley,328
C,C44633125,Cameron,287
D,D51345966,Helene,278
C,C66401499,Tyson,30
C,C96416778,Shon,279
C,C4516214,Kermit,419
A,A62234326,Keisha,195
